radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
CDMA,310,260,32172,32172,0,-74.14741500000001,40.880356,1000,3,1,1238970957,1354818491,0
CDMA,310,260,32172,31793,0,-74.202017,40.876776,1000,50,1,1238970959,1315902239,0
CDMA,310,260,32172,32388,0,-74.21148199999999,40.883501,1000,23,1,1238959787,1238959787,0
CDMA,310,260,32172,32389,0,-74.221281,40.891040000000004,1000,47,1,1238959787,1238959787,0
CDMA,310,260,32172,38673,0,-74.230597,40.894154,1000,56,1,1238959788,1238959788,0
CDMA,310,260,32172,33937,0,-74.135056,40.878754,1000,2,1,1238951182,1238951182,0
CDMA,310,260,32172,33761,0,-74.134341,40.875595000000004,1000,25,1,1238970982,1344764417,0
CDMA,310,260,32168,33319,0,-74.12201,40.893516999999996,4561,4,1,1238970983,1341340979,0
CDMA,310,260,32168,32812,0,-74.119339,40.867844,7400,27,1,1238970983,1325709111,0
CDMA,310,260,32173,31279,0,-74.120802,40.855858000000005,8736,29,1,1238970983,1357414177,0
CDMA,310,260,32173,33752,0,-74.130487,40.838858,1035,49,1,1238953112,1238953112,0
CDMA,310,260,32173,32162,0,-74.137891,40.831907,1000,31,1,1238953111,1238953111,0
CDMA,310,260,32173,30519,0,-74.134681,40.829253,1076,22,1,1238970988,1383998867,0
CDMA,310,260,32168,34093,0,-74.121323,40.875168,1000,18,1,1238951191,1238951191,0
CDMA,310,260,32168,34091,0,-74.12086500000001,40.883102,5709,9,1,1238970991,1325709050,0
CDMA,310,260,32173,30020,0,-74.122467,40.821991,1000,6,1,1238959784,1238959784,0
CDMA,310,260,32173,30518,0,-74.12414100000001,40.823640999999995,1000,19,1,1238951565,1238951565,0
CDMA,310,260,32173,30517,0,-74.123971,40.835544,1000,28,1,1238953281,1238953281,0
CDMA,310,260,32173,31312,0,-74.12151,40.858654,8427,22,1,1238971285,1325709162,0
CDMA,310,260,32172,33298,0,-74.128091,40.862961,1000,14,1,1238953115,1238953115,0
CDMA,310,260,32172,33763,0,-74.136608,40.875231,1000,46,1,1238951530,1238951530,0
CDMA,310,260,32172,32558,0,-74.136625,40.87532,1000,56,1,1238952998,1238952998,0
CDMA,310,260,32172,33762,0,-74.136428833008,40.87532043457,1000,9,1,1238951556,1238951556,0
CDMA,310,260,32173,34293,0,-74.165267,40.843047999999996,4113,24,1,1238971364,1314389128,0
CDMA,310,260,32169,30323,0,-74.121774,40.747399,1000,67,1,1238971774,1300061743,0
CDMA,310,260,32169,31147,0,-74.13319200000001,40.742733,1000,42,1,1238971775,1348737978,0
CDMA,310,260,32157,31471,0,-74.175016,40.736492,1000,142,1,1238952073,1238952073,0
CDMA,310,260,32157,33902,0,-74.18306899999999,40.739897,1000,80,1,1238952073,1238952073,0
CDMA,310,260,32157,32098,0,-74.18586730957,40.739364624023,1000,1,1,1238951981,1238951981,0
CDMA,310,260,32157,33903,0,-74.186181,40.742033,1000,35,1,1238952072,1238952072,0
CDMA,310,260,32157,34962,0,-74.189313,40.745026,1000,57,1,1238952072,1238952072,0
CDMA,310,260,32157,33901,0,-74.188385,40.743942,1000,18,1,1238952072,1238952072,0
CDMA,310,260,32157,32087,0,-74.19308199999999,40.749161,1000,75,1,1238952071,1238952071,0
CDMA,310,260,32157,33113,0,-74.196853637695,40.755844116211,1000,4,1,1238951985,1238951985,0
CDMA,310,260,32157,33112,0,-74.19797700000001,40.755844,1000,11,1,1238951985,1238951985,0
CDMA,310,260,32170,31932,0,-74.20273900000001,40.766503,1000,21,1,1238952065,1238952065,0
CDMA,310,260,32170,34589,0,-74.203685,40.764542,1000,39,1,1238952066,1238952066,0
CDMA,310,260,32170,34587,0,-74.202499,40.767212,1000,18,1,1238952065,1238952065,0
CDMA,310,260,32170,31931,0,-74.201257,40.772207,1000,189,1,1238952065,1238952065,0
CDMA,310,260,32170,30253,0,-74.202346801758,40.776443481445,1000,5,1,1238951990,1238951990,0
CDMA,310,260,32170,30049,0,-74.20450500000001,40.778573,1000,98,1,1238971790,1335524794,0
CDMA,310,260,32170,32167,0,-74.205093,40.780105999999996,1000,15,1,1238951991,1238951991,0
CDMA,310,260,32170,35438,0,-74.204412,40.78634,1000,121,1,1238952061,1238952061,0
CDMA,310,260,32170,30047,0,-74.202912,40.787349,1000,17,1,1238971793,1314036584,0
CDMA,310,260,32170,35437,0,-74.205706,40.790662,1000,65,1,1238952060,1238952060,0
CDMA,310,260,32170,31593,0,-74.205024,40.791671,1000,79,1,1238971794,1328940886,0
CDMA,310,260,32170,33027,0,-74.20553000000001,40.762086,1000,22,1,1238971866,1344329582,0
CDMA,310,260,32170,32141,0,-74.202976,40.757560999999995,1000,24,1,1238971868,1327259701,0
CDMA,310,260,32157,33014,0,-74.16686999999999,40.733928999999996,1000,24,1,1238952074,1238952074,0
CDMA,310,260,32157,33011,0,-74.16595500000001,40.734215,1000,4,1,1238971875,1325008938,0
CDMA,310,260,32157,32293,0,-74.164434,40.734068,1000,28,1,1238971875,1300061741,0
CDMA,310,260,32173,33168,0,-74.16763,40.844559000000004,1000,25,1,1238953047,1238953047,0
CDMA,310,260,32172,32833,0,-74.155464,40.86853,1000,36,1,1238972848,1349037397,0
CDMA,310,260,32172,32831,0,-74.147758,40.871201,1000,4,1,1238953048,1238953048,0
CDMA,310,260,32157,33238,0,-74.124069213867,40.801162719727,1000,1,1,1238953082,1238953082,0
CDMA,310,260,32157,33239,0,-74.12662900000001,40.802786,1000,22,1,1238953280,1238953280,0
